Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min,Assigned_Machine
Сэндвич_batch_2,Расстойка,681,706,25,
Сэндвич_batch_6,Смешивание,681,691,10,mixer_2
Сэндвич_batch_13,Выпекание,685,707,22,
Булочка для гамбургера большой с кунжутом_batch_5,Остывание,687,732,45,
Булочка для гамбургера большой с кунжутом_batch_8,Комбинирование,690,711,21,combiner_0
Сэндвич_batch_12,Расстойка,690,715,25,
Сэндвич_batch_11,Смешивание,691,701,10,mixer_1
Сэндвич_batch_6,Формовка,691,702,11,former_0
Булочка для гамбургера большой с кунжутом_batch_12,Остывание,696,741,45,
Булочка для гамбургера большой с кунжутом_batch_7,Выпекание,696,718,22,
Булочка для гамбургера большой с кунжутом_batch_10,Смешивание,702,712,10,mixer_2
Булочка для гамбургера большой с кунжутом_batch_6,Комбинирование,702,723,21,combiner_1
Сэндвич_batch_11,Формовка,702,713,11,former_0
Сэндвич_batch_6,Расстойка,702,727,25,
Сэндвич_batch_2,Выпекание,706,728,22,
Сэндвич_batch_13,Остывание,707,752,45,
Булочка для гамбургера большой с кунжутом_batch_8,Смешивание,711,721,10,mixer_1
Премиум_batch_1,Комбинирование,711,715,4,combiner_0
Булочка для гамбургера большой с кунжутом_batch_10,Формовка,712,723,11,former_1
Сэндвич_batch_11,Расстойка,713,738,25,
Булочка для гамбургера большой с кунжутом_batch_3,Комбинирование,715,736,21,combiner_0
Премиум_batch_1,Смешивание,715,725,10,mixer_2
Сэндвич_batch_12,Выпекание,715,737,22,
Булочка для гамбургера большой с кунжутом_batch_7,Остывание,718,763,45,
Булочка для гамбургера большой с кунжутом_batch_8,Формовка,721,732,11,former_0
Булочка для гамбургера большой с кунжутом_batch_1,Комбинирование,723,744,21,combiner_1
Булочка для гамбургера большой с кунжутом_batch_10,Расстойка,723,748,25,
Булочка для гамбургера большой с кунжутом_batch_6,Смешивание,723,733,10,mixer_1
Премиум_batch_1,Формовка,725,727,2,former_1
Премиум_batch_1,Расстойка,727,752,25,
Сэндвич_batch_6,Выпекание,727,749,22,
Сэндвич_batch_2,Остывание,728,773,45,
Булочка для гамбургера большой с кунжутом_batch_8,Расстойка,732,757,25,
